sample_id; R; G; B
A1;482.780625; 389.610625; 117.115625
A2;1614.445; 1226.3875; 415.245
A3;535.3375; 809.37; 439.4275
A4;424.7675; 594.4634375; 161.335
A5;937.2725; 1077.8575; 586.9075
A6;976.41875; 2012.144375; 825.36375
B1;1701.5975; 995.8575; 164.24
B2;333.04875; 526.209375; 418.59
B3;1487.425; 622.858125; 198.82875
B4;397.1575; 298.0428125; 178.135
B5;1371.31; 1962.948125; 389.39875
B6;2316.55625; 1778.48375; 274.41
C1;157.275; 272.4553125; 272.934375
C2;424.585; 939.61; 251.305
C3;1199.7975; 398.519375; 110.97375
C4;2439.41; 2327.4025; 347.6475
C5;1561.56625; 749.494375; 380.11875
C6;323.215; 946.37125; 608.13375
D1;2691.9025; 3185.595; 1204.645
D2;1891.29875; 2260.2575; 867.435
D3;1243.5; 1498.68875; 577.32
D4;690.24375; 826.01; 315.67875
D5;344.115; 418.266875; 165.17125
D6;142.025; 169.595; 69.49